ID_Registro,Consumo_Energia_Global_kw
1975229,0.34305040915541435
1975230,3.8121411189508554
1975231,4.349676911512076
1975232,4.765081120373496
1975233,0.7428012554891364
1975234,2.7961725883217996
1975235,1.861233075124065
1975236,2.2023862799792626
1975237,1.4598221159212135
1975238,1.6844782215264242
1975239,3.4461461218322924
1975240,2.569623802064601
1975241,1.3878744038672917
1975242,4.480897343104508
1975243,0.8014892568098448
1975244,1.8374433560730756
1975245,3.4891363075159627
1975246,4.761765974535128
1975247,2.4810088670536894
1975248,0.3119895727807126
1975249,2.3573710313742215
1975250,0.6823199557875433
1975251,3.346193915557977
1975252,4.604047037616822
1975253,2.525549589895608
1975254,3.3493406908757013
1975255,1.123695353507472
1975256,3.089992122817587
1975257,2.501447782834253
1975258,3.7150224509943888
1975259,2.416421007147207
1975260,2.882015567185678
1975261,3.523397720440923
1975262,3.1539446484724154
1975263,2.981200656126588
1975264,3.521944216101605
1975265,3.425248533009437
1975266,0.7736773542525476
1975267,1.0706158522524487
1975268,1.6984338658797649
1975269,4.705376430163711
1975270,2.823301163914924
1975271,2.736122743392301
1975272,3.5797677174235956
1975273,4.560938613844757
1975274,0.1951826832418802
1975275,0.8679759369585489
1975276,3.6767170286613813
1975277,0.8268904972909804
1975278,1.2021667293250637
1975279,3.957258970592486
1975280,1.6347275581764003
1975281,3.6697915940894275
1975282,0.3282831334385427
1975283,4.864700390821588
1975284,2.3952491642033396
1975285,4.464714426875838
1975286,2.0213557390056427
1975287,0.6383811948715498
1975288,0.8536477526457167
1975289,0.46013806004595126
1975290,0.9607976345171255
1975291,4.072114049170885
1975292,3.9963366936156297
1975293,0.8098414835097505
1975294,1.6323585356182235
1975295,0.25310561960260913
1975296,3.338773311387216
1975297,0.10752207678153036
1975298,1.495047908050207
1975299,1.3945331237082959
1975300,1.5277619934229827
1975301,2.468636685648735
1975302,4.932698607478512
1975303,3.676095593408875
1975304,1.878809812957078
1975305,0.1107086320970878
1975306,2.9189636299959627
1975307,3.5003284462289614
1975308,1.9662014490418103
1975309,4.060507350071575
1975310,1.7147672729608214
